ExperimentName	Subject	Session	SessionTime	Cooccurrences	testWait.RESP	testWait.RT	Picture	sound	TestList.Sample
5_1	36	1	09:24:13	1	3	1690	2	16	8
5_1	36	1	09:24:13	6	6	1395	14	14	9
5_1	36	1	09:24:13	0	5	4753	15	5	10
5_1	36	1	09:24:13	2	4	4002	5	18	11
5_1	36	1	09:24:13	6	6	250	17	17	12
5_1	36	1	09:24:13	0	2	575	1	3	13
5_1	36	1	09:24:13	2	5	2515	16	13	14
5_1	36	1	09:24:13	1	4	1097	9	15	15
5_1	36	1	09:24:13	6	6	131	11	11	16
5_1	36	1	09:24:13	3	3	976	2	18	17
5_1	36	1	09:24:13	6	6	100	10	10	18
5_1	36	1	09:24:13	6	2	1839	2	2	19
5_1	36	1	09:24:13	1	4	3034	2	14	20
5_1	36	1	09:24:13	1	6	167	4	11	21
5_1	36	1	09:24:13	6	6	1765	1	1	22
5_1	36	1	09:24:13	6	2	401	7	7	23
5_1	36	1	09:24:13	3	6	48	1	13	24
5_1	36	1	09:24:13	1	6	486	5	17	25
5_1	36	1	09:24:13	6	4	1381	3	3	26
5_1	36	1	09:24:13	0	2	840	3	12	27
5_1	36	1	09:24:13	0	1	86	14	4	28
5_1	36	1	09:24:13	6	6	475	16	16	29
5_1	36	1	09:24:13	6	4	785	18	18	30
5_1	36	1	09:24:13	1	1	709	10	9	31
5_1	36	1	09:24:13	3	5	1127	17	6	32
5_1	36	1	09:24:13	3	6	2307	7	5	33
5_1	36	1	09:24:13	4	6	1026	4	12	34
5_1	36	1	09:24:13	1	6	371	9	10	35
5_1	36	1	09:24:13	3	4	271	6	9	36
5_1	36	1	09:24:13	0	2	944	13	7	37
5_1	36	1	09:24:13	2	3	467	13	2	38
5_1	36	1	09:24:13	6	4	499	5	5	39
5_1	36	1	09:24:13	2	6	72	12	11	40
5_1	36	1	09:24:13	6	5	499	9	9	41
5_1	36	1	09:24:13	3	5	2054	8	10	42
5_1	36	1	09:24:13	0	6	862	16	3	43
5_1	36	1	09:24:13	4	4	368	10	11	44
5_1	36	1	09:24:13	1	3	3223	8	16	45
5_1	36	1	09:24:13	6	4	4020	6	6	46
5_1	36	1	09:24:13	2	1	785	15	17	47
5_1	36	1	09:24:13	3	6	418	14	16	48
5_1	36	1	09:24:13	0	2	7	7	17	49
5_1	36	1	09:24:13	0	3	422	5	2	50
5_1	36	1	09:24:13	6	1	928	4	4	51
5_1	36	1	09:24:13	4	2	358	11	7	52
5_1	36	1	09:24:13	0	0	759	11	15	53
5_1	36	1	09:24:13	0	4	2391	18	8	54
5_1	36	1	09:24:13	0	3	3989	13	7	55
5_1	36	1	09:24:13	6	4	398	12	12	56
5_1	36	1	09:24:13	6	6	88	8	8	57
5_1	36	1	09:24:13	6	2	556	13	13	58
5_1	36	1	09:24:13	2	6	404	11	8	59
5_1	36	1	09:24:13	0	3	4276	17	13	60
5_1	36	1	09:24:13	1	5	452	3	14	61
5_1	36	1	09:24:13	4	6	1346	16	1	62
5_1	36	1	09:24:13	1	4	2786	1	18	63
5_1	36	1	09:24:13	2	6	77	3	10	64
5_1	36	1	09:24:13	2	2	249	18	4	65
5_1	36	1	09:24:13	1	3	1158	8	6	66
5_1	36	1	09:24:13	0	4	7926	12	2	67
5_1	36	1	09:24:13	2	6	823	6	3	68
5_1	36	1	09:24:13	4	1	353	15	4	69
5_1	36	1	09:24:13	2	3	162	17	9	70
5_1	36	1	09:24:13	1	6	290	4	1	71
5_1	36	1	09:24:13	0	5	471	9	8	72
5_1	4	1	12:19:50	0	4	4367	11	15	1
5_1	4	1	12:19:50	6	5	2407	5	5	2
5_1	4	1	12:19:50	4	6	1090	15	4	3
5_1	4	1	12:19:50	2	6	198	18	4	4
5_1	4	1	12:19:50	0	0	2248	18	8	5
5_1	4	1	12:19:50	3	0	3859	12	15	6
5_1	4	1	12:19:50	2	6	1775	6	3	7
5_1	4	1	12:19:50	6	6	1984	12	12	8
5_1	4	1	12:19:50	6	6	2063	16	16	9
5_1	4	1	12:19:50	6	4	3449	8	8	10
5_1	4	1	12:19:50	3	6	480	1	13	11
5_1	4	1	12:19:50	3	6	264	6	9	12
5_1	4	1	12:19:50	2	0	644	17	9	13
5_1	4	1	12:19:50	3	6	929	14	16	14
5_1	4	1	12:19:50	6	6	39	7	7	15
5_1	4	1	12:19:50	2	0	888	15	17	16
5_1	4	1	12:19:50	4	0	404	14	5	17
5_1	4	1	12:19:50	0	0	2292	13	7	18
5_1	4	1	12:19:50	0	6	269	9	8	19
5_1	4	1	12:19:50	6	0	1079	13	13	20
5_1	4	1	12:19:50	2	0	437	10	6	21
5_1	4	1	12:19:50	1	2	1542	10	9	22
5_1	4	1	12:19:50	0	0	1517	17	13	23
5_1	4	1	12:19:50	6	3	2067	4	4	24
5_1	4	1	12:19:50	2	2	1266	3	10	25
5_1	4	1	12:19:50	0	0	514	15	5	26
5_1	4	1	12:19:50	1	6	324	6	12	27
5_1	4	1	12:19:50	3	2	553	17	6	28
5_1	4	1	12:19:50	6	0	719	14	14	29
5_1	4	1	12:19:50	4	0	776	4	12	30
5_1	4	1	12:19:50	2	6	1012	5	18	31
5_1	4	1	12:19:50	0	2	6733	13	7	32
5_1	4	1	12:19:50	4	0	456	10	11	33
5_1	4	1	12:19:50	1	0	615	8	16	34
5_1	4	1	12:19:50	0	0	704	12	2	35
5_1	4	1	12:19:50	6	4	1490	18	18	36
5_1	4	1	12:19:50	1	0	4182	2	14	37
5_1	4	1	12:19:50	1	0	243	8	6	38
5_1	4	1	12:19:50	1	6	417	3	14	39
5_1	4	1	12:19:50	2	0	327	18	14	40
5_1	4	1	12:19:50	4	6	342	16	1	41
5_1	4	1	12:19:50	1	0	3303	5	17	42
5_1	4	1	12:19:50	1	4	578	9	15	43
5_1	4	1	12:19:50	3	0	5647	2	18	44
5_1	4	1	12:19:50	0	0	73	5	2	45
5_1	4	1	12:19:50	2	0	1202	13	2	46
5_1	4	1	12:19:50	0	0	463	16	3	47
5_1	4	1	12:19:50	1	2	3489	2	16	48
5_1	4	1	12:19:50	6	4	736	17	17	49
5_1	4	1	12:19:50	0	4	2563	1	3	50
5_1	4	1	12:19:50	6	0	1431	6	6	51
5_1	4	1	12:19:50	3	3	1720	7	5	52
5_1	4	1	12:19:50	0	2	917	7	17	53
5_1	4	1	12:19:50	1	2	2597	9	10	54
5_1	4	1	12:19:50	6	3	1712	10	10	55
5_1	4	1	12:19:50	6	3	2935	3	3	56
5_1	4	1	12:19:50	6	6	6009	11	11	57
5_1	4	1	12:19:50	6	2	2389	9	9	58
5_1	4	1	12:19:50	6	0	1731	2	2	59
5_1	4	1	12:19:50	4	0	1064	11	7	60
5_1	4	1	12:19:50	0	6	2271	14	4	61
5_1	4	1	12:19:50	0	2	582	3	12	62
5_1	4	1	12:19:50	2	0	2210	16	13	63
5_1	4	1	12:19:50	6	4	1380	1	1	64
5_1	4	1	12:19:50	6	2	533	15	15	65
5_1	4	1	12:19:50	2	0	1025	11	8	66
5_1	4	1	12:19:50	2	0	2194	12	11	67
5_1	4	1	12:19:50	1	4	2697	4	11	68
5_1	4	1	12:19:50	1	2	1296	4	1	69
5_1	4	1	12:19:50	3	1	1256	8	10	70
5_1	4	1	12:19:50	1	0	3300	1	18	71
5_1	4	1	12:19:50	1	2	1043	7	1	72
5_1	40	1	10:14:03	1	1	6552	7	1	1
5_1	40	1	10:14:03	6	0	3078	1	1	2
5_1	40	1	10:14:03	1	0	2945	9	15	3
5_1	40	1	10:14:03	0	0	5607	13	7	4
5_1	40	1	10:14:03	1	1	2197	9	10	5
5_1	40	1	10:14:03	6	3	5986	18	18	6
5_1	40	1	10:14:03	1	2	304	8	16	7
5_1	40	1	10:14:03	3	1	339	6	9	8
5_1	40	1	10:14:03	2	0	793	18	14	9
5_1	40	1	10:14:03	6	0	704	12	12	10
5_1	40	1	10:14:03	1	1	2018	10	9	11
5_1	40	1	10:14:03	3	2	3155	7	5	12
5_1	40	1	10:14:03	0	2	765	7	17	13
5_1	40	1	10:14:03	0	0	1363	13	7	14
5_1	40	1	10:14:03	2	1	1301	16	13	15
5_1	40	1	10:14:03	2	6	1336	17	9	16
5_1	40	1	10:14:03	3	6	721	2	18	17
5_1	40	1	10:14:03	2	3	2287	6	3	18
5_1	40	1	10:14:03	6	5	2146	11	11	19
5_1	40	1	10:14:03	1	5	224	1	18	20
5_1	40	1	10:14:03	0	4	307	5	2	21
5_1	40	1	10:14:03	6	0	3181	17	17	22
5_1	40	1	10:14:03	6	0	275	7	7	23
5_1	40	1	10:14:03	6	2	4634	4	4	24
5_1	40	1	10:14:03	6	2	323	13	13	25
5_1	40	1	10:14:03	6	0	176	9	9	26
5_1	40	1	10:14:03	0	0	1733	15	5	27
5_1	40	1	10:14:03	6	0	554	5	5	28
5_1	40	1	10:14:03	4	3	1793	14	5	29
5_1	40	1	10:14:03	3	0	489	8	10	30
5_1	40	1	10:14:03	6	4	2525	8	8	31
5_1	40	1	10:14:03	1	0	31	8	6	32
5_1	40	1	10:14:03	3	0	342	12	15	33
5_1	40	1	10:14:03	6	4	1279	15	15	34
5_1	40	1	10:14:03	4	0	3486	15	4	35
5_1	40	1	10:14:03	1	0	647	2	14	36
5_1	40	1	10:14:03	1	3	3044	3	14	37
5_1	40	1	10:14:03	1	0	247	4	11	38
5_1	40	1	10:14:03	4	4	550	4	12	39
5_1	40	1	10:14:03	6	0	8	16	16	40
5_1	40	1	10:14:03	2	0	2343	12	11	41
5_1	40	1	10:14:03	2	5	1320	5	18	42
5_1	40	1	10:14:03	3	5	807	1	13	43
5_1	40	1	10:14:03	0	0	261	18	8	44
5_1	40	1	10:14:03	1	0	13	6	12	45
5_1	40	1	10:14:03	6	3	101	3	3	46
5_1	40	1	10:14:03	6	2	1103	2	2	47
5_1	40	1	10:14:03	2	0	17	18	4	48
5_1	40	1	10:14:03	6	5	524	6	6	49
5_1	40	1	10:14:03	0	0	3233	1	3	50
5_1	40	1	10:14:03	2	0	805	13	2	51
5_1	40	1	10:14:03	6	6	2402	10	10	52
5_1	40	1	10:14:03	4	0	206	10	11	53
5_1	40	1	10:14:03	0	3	116	3	12	54
5_1	40	1	10:14:03	1	1	891	4	1	55
5_1	40	1	10:14:03	4	0	89	16	1	56
5_1	40	1	10:14:03	0	5	632	11	15	57
5_1	40	1	10:14:03	4	0	16	11	7	58
5_1	40	1	10:14:03	6	0	629	14	14	59
5_1	40	1	10:14:03	3	0	231	17	6	60
5_1	40	1	10:14:03	2	0	1024	15	17	61
5_1	40	1	10:14:03	2	4	1168	11	8	62
5_1	40	1	10:14:03	1	0	821	2	16	63
5_1	40	1	10:14:03	2	5	528	10	6	64
5_1	40	1	10:14:03	2	0	532	3	10	65
5_1	40	1	10:14:03	0	2	785	17	13	66
5_1	40	1	10:14:03	0	0	116	14	4	67
5_1	40	1	10:14:03	3	0	900	14	16	68
5_1	40	1	10:14:03	0	1	776	9	8	69
5_1	40	1	10:14:03	1	0	147	5	17	70
5_1	40	1	10:14:03	0	0	471	16	3	71
5_1	40	1	10:14:03	0	1	1005	12	2	72
5_1	8	1	14:03:09	2	3	3072	15	17	1
5_1	8	1	14:03:09	2	0	3940	18	14	2
5_1	8	1	14:03:09	6	5	3152	10	10	3
5_1	8	1	14:03:09	1	0	2443	5	17	4
5_1	8	1	14:03:09	4	0	726	16	1	5
5_1	8	1	14:03:09	0	0	148	12	2	6
5_1	8	1	14:03:09	2	5	583	5	18	7
5_1	8	1	14:03:09	1	0	1475	4	1	8
5_1	8	1	14:03:09	0	4	1229	13	7	9
5_1	8	1	14:03:09	0	4	1141	18	8	10
5_1	8	1	14:03:09	6	0	1896	1	1	11
5_1	8	1	14:03:09	6	6	196	17	17	12
5_1	8	1	14:03:09	6	0	1221	7	7	13
5_1	8	1	14:03:09	1	0	935	9	10	14
5_1	8	1	14:03:09	3	4	386	6	9	15
5_1	8	1	14:03:09	0	0	325	7	17	16
5_1	8	1	14:03:09	6	4	1203	5	5	17
5_1	8	1	14:03:09	2	5	946	13	2	18
5_1	8	1	14:03:09	1	3	722	3	14	19
5_1	8	1	14:03:09	1	0	496	2	14	20
5_1	8	1	14:03:09	3	0	197	17	6	21
5_1	8	1	14:03:09	4	5	885	4	12	22
5_1	8	1	14:03:09	2	0	243	17	9	23
5_1	8	1	14:03:09	6	5	320	18	18	24
5_1	8	1	14:03:09	2	3	1840	10	6	25
5_1	8	1	14:03:09	0	0	1636	14	4	26
5_1	8	1	14:03:09	4	0	612	15	4	27
5_1	8	1	14:03:09	1	4	959	7	1	28
5_1	8	1	14:03:09	3	0	902	7	5	29
5_1	8	1	14:03:09	1	5	431	8	16	30
5_1	8	1	14:03:09	4	3	625	14	5	31
5_1	8	1	14:03:09	0	0	529	5	2	32
5_1	8	1	14:03:09	6	0	2328	14	14	33
5_1	8	1	14:03:09	6	0	163	9	9	34
5_1	8	1	14:03:09	2	2	465	11	8	35
5_1	8	1	14:03:09	6	0	83	6	6	36
5_1	8	1	14:03:09	2	0	100	16	13	37
5_1	8	1	14:03:09	1	0	413	8	6	38
5_1	8	1	14:03:09	2	1	408	3	10	39
5_1	8	1	14:03:09	1	3	501	2	16	40
5_1	8	1	14:03:09	6	0	65	2	2	41
5_1	8	1	14:03:09	2	0	613	6	3	42
5_1	8	1	14:03:09	1	0	2015	4	11	43
5_1	8	1	14:03:09	0	0	336	17	13	44
5_1	8	1	14:03:09	3	0	566	12	15	45
5_1	8	1	14:03:09	3	2	706	1	13	46
5_1	8	1	14:03:09	1	4	70	1	18	47
5_1	8	1	14:03:09	6	4	637	16	16	48
5_1	8	1	14:03:09	3	0	1317	2	18	49
5_1	8	1	14:03:09	2	0	1686	18	4	50
5_1	8	1	14:03:09	6	0	1872	4	4	51
5_1	8	1	14:03:09	0	2	104	1	3	52
5_1	8	1	14:03:09	0	0	144	11	15	53
5_1	8	1	14:03:09	0	2	1717	16	3	54
5_1	8	1	14:03:09	6	0	116	13	13	55
5_1	8	1	14:03:09	3	0	1204	14	16	56
5_1	8	1	14:03:09	6	3	727	12	12	57
5_1	8	1	14:03:09	1	0	357	9	15	58
5_1	8	1	14:03:09	1	0	1142	10	9	59
5_1	8	1	14:03:09	0	4	589	15	5	60
5_1	8	1	14:03:09	0	4	2376	13	7	61
5_1	8	1	14:03:09	6	2	240	11	11	62
5_1	8	1	14:03:09	6	0	909	15	15	63
5_1	8	1	14:03:09	4	0	438	11	7	64
5_1	8	1	14:03:09	6	0	1402	8	8	65
5_1	8	1	14:03:09	2	4	1575	12	11	66
5_1	8	1	14:03:09	1	0	129	6	12	67
5_1	8	1	14:03:09	0	3	264	3	12	68
5_1	8	1	14:03:09	4	3	1668	10	11	69
5_1	8	1	14:03:09	6	5	323	3	3	70
5_1	8	1	14:03:09	0	0	1953	9	8	71
5_1	8	1	14:03:09	3	0	1064	8	10	72
5_2	14	2	15:55:57	4	0	3330	11	7	1
5_2	14	2	15:55:57	0	0	1810	3	12	2
5_2	14	2	15:55:57	0	3	1510	17	13	3
5_2	14	2	15:55:57	6	0	2455	14	14	4
5_2	14	2	15:55:57	0	0	424	11	15	5
5_2	14	2	15:55:57	0	3	2819	9	8	6
5_2	14	2	15:55:57	2	4	2615	10	6	7
5_2	14	2	15:55:57	6	2	632	2	2	8
5_2	14	2	15:55:57	3	1	176	8	10	9
5_2	14	2	15:55:57	1	3	373	4	1	10
5_2	14	2	15:55:57	1	3	339	1	18	11
5_2	14	2	15:55:57	3	0	2726	2	18	12
5_2	14	2	15:55:57	2	0	80	15	17	13
5_2	14	2	15:55:57	4	2	1697	4	12	14
5_2	14	2	15:55:57	3	0	193	12	15	15
5_2	14	2	15:55:57	2	0	392	13	2	16
5_2	14	2	15:55:57	4	0	239	15	4	17
5_2	14	2	15:55:57	6	1	682	12	12	18
5_2	14	2	15:55:57	3	0	6	14	16	19
5_2	14	2	15:55:57	6	0	526	4	4	20
5_2	14	2	15:55:57	6	2	531	3	3	21
5_2	14	2	15:55:57	1	0	2257	2	16	22
5_2	14	2	15:55:57	0	0	5008	16	3	23
5_2	14	2	15:55:57	1	0	1293	4	11	24
5_2	14	2	15:55:57	1	0	174	5	17	25
5_2	14	2	15:55:57	3	2	1539	17	6	26
5_2	14	2	15:55:57	0	0	5	5	2	27
5_2	14	2	15:55:57	1	0	3685	8	16	28
5_2	14	2	15:55:57	0	2	1443	13	7	29
5_2	14	2	15:55:57	1	0	1507	8	6	30
5_2	14	2	15:55:57	1	2	2003	3	14	31
5_2	14	2	15:55:57	6	0	1560	17	17	32
5_2	14	2	15:55:57	2	0	2180	6	3	33
5_2	14	2	15:55:57	6	3	2813	13	13	34
5_2	14	2	15:55:57	0	0	202	15	5	35
5_2	14	2	15:55:57	2	0	49	11	8	36
5_2	14	2	15:55:57	1	1	1214	9	10	37
5_2	14	2	15:55:57	0	0	49	13	7	38
5_2	14	2	15:55:57	1	0	24	6	12	39
5_2	14	2	15:55:57	6	3	1530	7	7	40
5_2	14	2	15:55:57	6	3	2548	8	8	41
5_2	14	2	15:55:57	2	2	882	18	4	42
5_2	14	2	15:55:57	6	0	263	15	15	43
5_2	14	2	15:55:57	6	3	1200	9	9	44
5_2	14	2	15:55:57	3	0	344	6	9	45
5_2	14	2	15:55:57	1	0	804	10	9	46
5_2	14	2	15:55:57	1	0	273	7	1	47
5_2	14	2	15:55:57	1	0	456	9	15	48
5_2	14	2	15:55:57	0	0	226	12	2	49
5_2	14	2	15:55:57	6	4	843	11	11	50
5_2	14	2	15:55:57	0	0	939	18	8	51
5_2	14	2	15:55:57	1	0	1639	2	14	52
5_2	14	2	15:55:57	6	0	21	10	10	53
5_2	14	2	15:55:57	0	0	127	14	4	54
5_2	14	2	15:55:57	2	2	454	18	14	55
5_2	14	2	15:55:57	2	0	2019	12	11	56
5_2	14	2	15:55:57	3	0	611	1	13	57
5_2	14	2	15:55:57	2	2	223	3	10	58
5_2	14	2	15:55:57	6	2	307	18	18	59
5_2	14	2	15:55:57	4	0	731	16	1	60
5_2	14	2	15:55:57	6	4	655	16	16	61
5_2	14	2	15:55:57	6	3	418	1	1	62
5_2	14	2	15:55:57	2	0	1030	17	9	63
5_2	14	2	15:55:57	0	0	430	7	17	64
5_2	14	2	15:55:57	4	2	1129	14	5	65
5_2	14	2	15:55:57	6	1	1308	5	5	66
5_2	14	2	15:55:57	4	0	195	10	11	67
5_2	14	2	15:55:57	6	2	1060	6	6	68
5_2	14	2	15:55:57	2	0	232	5	18	69
5_2	14	2	15:55:57	3	0	359	7	5	70
5_2	14	2	15:55:57	2	0	3	16	13	71
5_2	14	2	15:55:57	0	0	245	1	3	72
5_2	18	2	16:27:47	2	3	1769	11	8	1
5_2	18	2	16:27:47	2	4	1540	6	3	2
5_2	18	2	16:27:47	4	5	390	16	1	3
5_2	18	2	16:27:47	6	6	3175	8	8	4
5_2	18	2	16:27:47	2	0	1177	5	18	5
5_2	18	2	16:27:47	4	2	565	14	5	6
5_2	18	2	16:27:47	0	1	355	18	8	7
5_2	18	2	16:27:47	6	6	5	10	10	8
5_2	18	2	16:27:47	3	4	996	12	15	9
5_2	18	2	16:27:47	0	4	408	11	15	10
5_2	18	2	16:27:47	2	2	245	18	14	11
5_2	18	2	16:27:47	6	6	901	12	12	12
5_2	18	2	16:27:47	1	2	152	8	6	13
5_2	18	2	16:27:47	0	4	754	14	4	14
5_2	18	2	16:27:47	0	3	193	16	3	15
5_2	18	2	16:27:47	1	1	161	2	16	16
5_2	18	2	16:27:47	2	0	241	3	10	17
5_2	18	2	16:27:47	2	0	271	16	13	18
5_2	18	2	16:27:47	1	2	561	9	15	19
5_2	18	2	16:27:47	6	5	809	1	1	20
5_2	18	2	16:27:47	6	6	1445	4	4	21
5_2	18	2	16:27:47	3	4	258	17	6	22
5_2	18	2	16:27:47	0	3	199	5	2	23
5_2	18	2	16:27:47	1	4	120	7	1	24
5_2	18	2	16:27:47	6	6	1344	17	17	25
5_2	18	2	16:27:47	4	4	879	15	4	26
5_2	18	2	16:27:47	4	4	518	10	11	27
5_2	18	2	16:27:47	0	3	368	9	8	28
5_2	18	2	16:27:47	1	1	438	8	16	29
5_2	18	2	16:27:47	1	2	1199	6	12	30
5_2	18	2	16:27:47	4	3	116	4	12	31
5_2	18	2	16:27:47	6	6	1766	15	15	32
5_2	18	2	16:27:47	1	4	289	3	14	33
5_2	18	2	16:27:47	3	2	137	6	9	34
5_2	18	2	16:27:47	2	3	404	12	11	35
5_2	18	2	16:27:47	6	6	116	6	6	36
5_2	18	2	16:27:47	1	4	437	4	11	37
5_2	18	2	16:27:47	1	2	901	4	1	38
5_2	18	2	16:27:47	6	6	223	5	5	39
5_2	18	2	16:27:47	0	3	160	17	13	40
5_2	18	2	16:27:47	6	6	865	11	11	41
5_2	18	2	16:27:47	1	3	1073	2	14	42
5_2	18	2	16:27:47	1	4	993	1	18	43
5_2	18	2	16:27:47	6	6	927	9	9	44
5_2	18	2	16:27:47	0	6	614	15	5	45
5_2	18	2	16:27:47	6	6	33	7	7	46
5_2	18	2	16:27:47	3	4	370	8	10	47
5_2	18	2	16:27:47	2	4	424	13	2	48
5_2	18	2	16:27:47	3	3	564	1	13	49
5_2	18	2	16:27:47	6	6	17	3	3	50
5_2	18	2	16:27:47	0	6	22	13	7	51
5_2	18	2	16:27:47	6	6	35	2	2	52
5_2	18	2	16:27:47	0	4	274	7	17	53
5_2	18	2	16:27:47	2	3	212	10	6	54
5_2	18	2	16:27:47	0	2	160	1	3	55
5_2	18	2	16:27:47	6	3	352	13	13	56
5_2	18	2	16:27:47	3	4	160	14	16	57
5_2	18	2	16:27:47	0	2	591	3	12	58
5_2	18	2	16:27:47	1	1	223	10	9	59
5_2	18	2	16:27:47	2	0	257	18	4	60
5_2	18	2	16:27:47	3	2	295	2	18	61
5_2	18	2	16:27:47	4	1	148	11	7	62
5_2	18	2	16:27:47	1	3	55	5	17	63
5_2	18	2	16:27:47	6	6	1379	14	14	64
5_2	18	2	16:27:47	6	6	70	16	16	65
5_2	18	2	16:27:47	6	6	169	18	18	66
5_2	18	2	16:27:47	0	4	520	12	2	67
5_2	18	2	16:27:47	2	3	281	15	17	68
5_2	18	2	16:27:47	0	6	670	13	7	69
5_2	18	2	16:27:47	3	2	235	7	5	70
5_2	18	2	16:27:47	2	3	224	17	9	71
5_2	18	2	16:27:47	1	1	195	9	10	72
5_2	28	2	14:39:00	2	2	2034	12	11	1
5_2	28	2	14:39:00	0	2	1630	5	2	2
5_2	28	2	14:39:00	1	4	1239	8	6	3
5_2	28	2	14:39:00	1	6	806	10	9	4
5_2	28	2	14:39:00	6	2	612	16	16	5
5_2	28	2	14:39:00	6	5	751	11	11	6
5_2	28	2	14:39:00	2	4	525	18	14	7
5_2	28	2	14:39:00	2	3	330	18	4	8
5_2	28	2	14:39:00	6	3	2586	14	14	9
5_2	28	2	14:39:00	2	2	222	17	9	10
5_2	28	2	14:39:00	3	0	931	8	10	11
5_2	28	2	14:39:00	6	0	423	12	12	12
5_2	28	2	14:39:00	0	4	321	13	7	13
5_2	28	2	14:39:00	6	6	160	9	9	14
5_2	28	2	14:39:00	3	6	270	7	5	15
5_2	28	2	14:39:00	0	5	367	14	4	16
5_2	28	2	14:39:00	2	5	1495	5	18	17
5_2	28	2	14:39:00	1	4	434	3	14	18
5_2	28	2	14:39:00	0	2	518	12	2	19
5_2	28	2	14:39:00	2	5	561	11	8	20
5_2	28	2	14:39:00	3	6	271	2	18	21
5_2	28	2	14:39:00	3	4	278	6	9	22
5_2	28	2	14:39:00	4	4	39	11	7	23
5_2	28	2	14:39:00	0	2	269	17	13	24
5_2	28	2	14:39:00	3	2	201	1	13	25
5_2	28	2	14:39:00	1	3	112	7	1	26
5_2	28	2	14:39:00	1	1	2850	1	18	27
5_2	28	2	14:39:00	0	4	401	16	3	28
5_2	28	2	14:39:00	6	5	160	18	18	29
5_2	28	2	14:39:00	3	1	319	14	16	30
5_2	28	2	14:39:00	2	5	519	13	2	31
5_2	28	2	14:39:00	0	5	377	15	5	32
5_2	28	2	14:39:00	4	4	260	4	12	33
5_2	28	2	14:39:00	2	5	1007	6	3	34
5_2	28	2	14:39:00	0	5	227	3	12	35
5_2	28	2	14:39:00	0	2	327	1	3	36
5_2	28	2	14:39:00	6	4	86	13	13	37
5_2	28	2	14:39:00	6	5	453	10	10	38
5_2	28	2	14:39:00	4	4	592	16	1	39
5_2	28	2	14:39:00	3	0	545	12	15	40
5_2	28	2	14:39:00	2	5	371	10	6	41
5_2	28	2	14:39:00	2	4	417	16	13	42
5_2	28	2	14:39:00	6	3	435	3	3	43
5_2	28	2	14:39:00	6	4	100	6	6	44
5_2	28	2	14:39:00	6	5	1019	2	2	45
5_2	28	2	14:39:00	3	3	213	17	6	46
5_2	28	2	14:39:00	2	2	786	15	17	47
5_2	28	2	14:39:00	0	1	338	7	17	48
5_2	28	2	14:39:00	6	3	936	5	5	49
5_2	28	2	14:39:00	6	3	388	15	15	50
5_2	28	2	14:39:00	6	3	1126	7	7	51
5_2	28	2	14:39:00	1	4	322	4	1	52
5_2	28	2	14:39:00	6	3	642	8	8	53
5_2	28	2	14:39:00	0	3	367	9	8	54
5_2	28	2	14:39:00	1	2	22	5	17	55
5_2	28	2	14:39:00	4	1	512	14	5	56
5_2	28	2	14:39:00	1	2	119	9	10	57
5_2	28	2	14:39:00	1	0	519	2	16	58
5_2	28	2	14:39:00	4	1	504	15	4	59
5_2	28	2	14:39:00	0	6	642	11	15	60
5_2	28	2	14:39:00	4	4	304	10	11	61
5_2	28	2	14:39:00	0	3	243	13	7	62
5_2	28	2	14:39:00	1	4	225	9	15	63
5_2	28	2	14:39:00	6	2	52	17	17	64
5_2	28	2	14:39:00	0	2	893	18	8	65
5_2	28	2	14:39:00	6	2	814	1	1	66
5_2	28	2	14:39:00	1	3	868	6	12	67
5_2	28	2	14:39:00	2	4	659	3	10	68
5_2	28	2	14:39:00	6	4	317	4	4	69
5_2	28	2	14:39:00	1	4	232	4	11	70
5_2	28	2	14:39:00	1	6	286	2	14	71
5_2	28	2	14:39:00	1	5	716	8	16	72
5_2	33	2	15:26:41	0	0	2464	13	7	1
5_2	33	2	15:26:41	6	3	4952	2	2	2
5_2	33	2	15:26:41	4	0	992	4	12	3
5_2	33	2	15:26:41	0	0	383	16	3	4
5_2	33	2	15:26:41	2	4	5401	10	6	5
5_2	33	2	15:26:41	6	2	1014	18	18	6
5_2	33	2	15:26:41	6	2	258	1	1	7
5_2	33	2	15:26:41	2	0	519	15	17	8
5_2	33	2	15:26:41	6	3	884	16	16	9
5_2	33	2	15:26:41	6	2	741	7	7	10
5_2	33	2	15:26:41	6	4	1304	10	10	11
5_2	33	2	15:26:41	0	0	950	7	17	12
5_2	33	2	15:26:41	0	0	242	9	8	13
5_2	33	2	15:26:41	0	0	1829	15	5	14
5_2	33	2	15:26:41	2	0	2837	5	18	15
5_2	33	2	15:26:41	2	0	42	11	8	16
5_2	33	2	15:26:41	1	0	3300	2	14	17
5_2	33	2	15:26:41	0	0	416	11	15	18
5_2	33	2	15:26:41	2	0	677	12	11	19
5_2	33	2	15:26:41	1	0	1675	9	15	20
5_2	33	2	15:26:41	3	0	1296	17	6	21
5_2	33	2	15:26:41	6	3	2995	5	5	22
5_2	33	2	15:26:41	1	0	686	8	6	23
5_2	33	2	15:26:41	0	0	293	3	12	24
5_2	33	2	15:26:41	1	0	176	4	1	25
5_2	33	2	15:26:41	2	0	566	17	9	26
5_2	33	2	15:26:41	6	3	691	17	17	27
5_2	33	2	15:26:41	2	0	1054	6	3	28
5_2	33	2	15:26:41	2	0	369	3	10	29
5_2	33	2	15:26:41	6	3	730	4	4	30
5_2	33	2	15:26:41	4	2	3654	14	5	31
5_2	33	2	15:26:41	0	0	753	18	8	32
