Condition	Subject	Session	Correct	Response	CorrectAns	RT	TestIndex
4_6-dist	11	4	0	1	10	3125	6
4_6-dist	11	4	0	11	3	1946	7
4_6-dist	11	4	0	4	13	3205	8
4_6-dist	11	4	0	12	8	1358	9
4_6-dist	11	4	0	13	1	2991	10
4_6-dist	11	4	0	10	14	6859	11
4_6-dist	11	4	0	6	17	3213	12
4_6-dist	11	4	0	18	2	3152	13
4_6-dist	11	4	0	8	5	2221	14
4_6-dist	11	4	0	7	6	3159	15
4_6-dist	11	4	0	15	18	3636	16
4_6-dist	11	4	0	14	11	1687	17
4_6-dist	11	4	0	13	12	7059	18
4_6-dist	12	4	1	16	16	1879	1
4_6-dist	12	4	0	18	11	3084	2
4_6-dist	12	4	1	1	1	2010	3
4_6-dist	12	4	1	15	15	1499	4
4_6-dist	12	4	0	4	18	1123	5
4_6-dist	12	4	0	17	10	2324	6
4_6-dist	12	4	0	7	6	1600	7
4_6-dist	12	4	0	3	13	1905	8
4_6-dist	12	4	0	8	5	2350	9
4_6-dist	12	4	0	4	7	1770	10
4_6-dist	12	4	0	14	12	3247	11
4_6-dist	12	4	0	12	8	3854	12
4_6-dist	12	4	0	10	17	3251	13
4_6-dist	12	4	0	9	4	2635	14
4_6-dist	12	4	0	4	9	1517	15
4_6-dist	12	4	0	11	14	1911	16
4_6-dist	12	4	1	2	2	1363	17
4_6-dist	12	4	0	13	3	3972	18
4_6-dist	13	4	0	4	13	6040	1
4_6-dist	13	4	0	6	14	4042	2
4_6-dist	13	4	1	15	15	3675	3
4_6-dist	13	4	0	16	18	1841	4
4_6-dist	13	4	0	5	10	2785	5
4_6-dist	13	4	0	13	4	2251	6
4_6-dist	13	4	0	14	11	1964	7
4_6-dist	13	4	0	5	17	2340	8
4_6-dist	13	4	0	7	6	4263	9
4_6-dist	13	4	0	17	12	2408	10
4_6-dist	13	4	0	3	5	2709	11
4_6-dist	13	4	0	12	16	2824	12
4_6-dist	13	4	1	9	9	1903	13
4_6-dist	13	4	0	11	7	7100	14
4_6-dist	13	4	1	1	1	1196	15
4_6-dist	13	4	1	8	8	2066	16
4_6-dist	13	4	1	2	2	3218	17
4_6-dist	13	4	0	4	3	1601	18
4_6-dist	14	1	0	2	13	2882	1
4_6-dist	14	1	0	15	4	2141	2
4_6-dist	14	1	0	1	17	2741	3
4_6-dist	14	1	0	15	5	1566	4
4_6-dist	14	1	0	12	18	2446	5
4_6-dist	14	1	0	7	9	1475	6
4_6-dist	14	1	1	11	11	1867	7
4_6-dist	14	1	0	17	14	2743	8
4_6-dist	14	1	0	14	8	1400	9
4_6-dist	14	1	0	7	16	1974	10
4_6-dist	14	1	0	11	1	1098	11
4_6-dist	14	1	0	18	12	1317	12
4_6-dist	14	1	0	13	2	2982	13
4_6-dist	14	1	0	16	10	2665	14
4_6-dist	14	1	0	9	15	4033	15
4_6-dist	14	1	0	13	3	1930	16
4_6-dist	14	1	0	17	7	3455	17
4_6-dist	14	1	0	8	6	2781	18
4_6-dist	15	1	1	4	4	3347	1
4_6-dist	15	1	0	8	9	3089	2
4_6-dist	15	1	0	18	5	4473	3
4_6-dist	15	1	0	17	8	3936	4
4_6-dist	15	1	1	16	16	3153	5
4_6-dist	15	1	1	12	12	2015	6
4_6-dist	15	1	0	16	2	2529	7
4_6-dist	15	1	0	7	17	3046	8
4_6-dist	15	1	1	1	1	2461	9
4_6-dist	15	1	0	6	15	3226	10
4_6-dist	15	1	1	14	14	1840	11
4_6-dist	15	1	0	3	10	9772	12
4_6-dist	15	1	0	5	7	2897	13
4_6-dist	15	1	0	15	13	1693	14
4_6-dist	15	1	0	9	18	7265	15
4_6-dist	15	1	1	11	11	1472	16
4_6-dist	15	1	0	6	3	2873	17
4_6-dist	15	1	0	18	6	5529	18
4_6-dist	16	1	1	11	11	6762	1
4_6-dist	16	1	1	6	6	1452	2
4_6-dist	16	1	0	3	4	6171	3
4_6-dist	16	1	0	4	18	2218	4
4_6-dist	16	1	0	13	17	5665	5
4_6-dist	16	1	1	2	2	1905	6
4_6-dist	16	1	0	4	7	2221	7
4_6-dist	16	1	0	18	13	4756	8
4_6-dist	16	1	1	5	5	4938	9
4_6-dist	16	1	0	14	16	5100	10
4_6-dist	16	1	0	1	14	1707	11
4_6-dist	16	1	1	15	15	4944	12
4_6-dist	16	1	0	3	10	3352	13
4_6-dist	16	1	1	9	9	2318	14
4_6-dist	16	1	0	17	1	3170	15
4_6-dist	16	1	0	18	8	2490	16
4_6-dist	16	1	0	14	3	4329	17
4_6-dist	16	1	1	12	12	2476	18
4_6-dist	17	1	1	11	11	1711	1
4_6-dist	17	1	0	15	5	1745	2
4_6-dist	17	1	0	12	16	4906	3
4_6-dist	17	1	0	7	9	1575	4
4_6-dist	17	1	0	17	6	1236	5
4_6-dist	17	1	0	5	4	1677	6
4_6-dist	17	1	0	7	14	999	7
4_6-dist	17	1	0	5	13	1099	8
4_6-dist	17	1	0	3	17	981	9
4_6-dist	17	1	1	1	1	2059	10
4_6-dist	17	1	0	6	7	2268	11
4_6-dist	17	1	0	10	15	1790	12
4_6-dist	17	1	0	14	18	1715	13
4_6-dist	17	1	0	4	3	1562	14
4_6-dist	17	1	0	3	12	1427	15
4_6-dist	17	1	0	13	10	914	16
4_6-dist	17	1	1	8	8	1248	17
4_6-dist	17	1	0	9	2	3303	18
4_6-dist	18	1	0	12	1	3069	1
4_6-dist	18	1	0	3	18	2386	2
4_6-dist	18	1	0	15	7	5550	3
4_6-dist	18	1	1	10	10	5817	4
4_6-dist	18	1	0	18	9	3324	5
4_6-dist	18	1	0	17	15	2078	6
4_6-dist	18	1	1	13	13	3173	7
4_6-dist	18	1	1	4	4	2404	8
4_6-dist	18	1	1	11	11	1883	9
4_6-dist	18	1	0	6	3	1950	10
4_6-dist	18	1	0	2	17	2997	11
4_6-dist	18	1	1	5	5	6018	12
4_6-dist	18	1	1	12	12	1793	13
4_6-dist	18	1	0	7	8	5604	14
4_6-dist	18	1	1	14	14	2643	15
4_6-dist	18	1	1	6	6	2072	16
4_6-dist	18	1	0	15	2	6385	17
4_6-dist	18	1	1	16	16	1538	18
4_6-dist	19	1	1	6	6	1711	1
4_6-dist	19	1	1	5	5	2315	2
4_6-dist	19	1	1	10	10	6401	3
4_6-dist	19	1	0	7	12	2366	4
4_6-dist	19	1	0	9	16	2496	5
4_6-dist	19	1	1	11	11	1824	6
4_6-dist	19	1	1	2	2	5239	7
4_6-dist	19	1	1	14	14	2234	8
4_6-dist	19	1	1	15	15	10503	9
4_6-dist	19	1	0	17	8	8992	10
4_6-dist	19	1	1	18	18	3037	11
4_6-dist	19	1	0	13	4	10591	12
4_6-dist	19	1	1	3	3	6153	13
4_6-dist	19	1	0	12	9	7254	14
4_6-dist	19	1	0	15	17	5289	15
4_6-dist	19	1	1	1	1	2185	16
4_6-dist	19	1	0	8	13	1715	17
4_6-dist	19	1	0	12	7	5829	18
4_6-dist	20	1	0	15	8	3717	1
4_6-dist	20	1	0	3	18	2014	2
4_6-dist	20	1	0	14	10	1383	3
4_6-dist	20	1	0	16	12	1996	4
4_6-dist	20	1	0	17	4	1898	5
4_6-dist	20	1	0	6	13	2305	6
4_6-dist	20	1	0	9	5	1893	7
4_6-dist	20	1	0	2	11	1653	8
4_6-dist	20	1	0	13	2	2633	9
4_6-dist	20	1	0	8	16	3244	10
4_6-dist	20	1	0	1	14	1635	11
4_6-dist	20	1	0	2	17	1775	12
4_6-dist	20	1	0	11	15	1822	13
4_6-dist	20	1	0	12	3	3621	14
4_6-dist	20	1	0	4	9	2195	15
4_6-dist	20	1	0	15	1	1573	16
4_6-dist	20	1	0	13	6	1864	17
4_6-dist	20	1	0	3	7	1315	18
4_6-dist	21	4	1	3	3	13363	1
4_6-dist	21	4	1	1	1	6534	2
4_6-dist	21	4	1	5	5	5097	3
4_6-dist	21	4	0	11	16	1858	4
4_6-dist	21	4	1	14	14	2369	5
4_6-dist	21	4	1	8	8	1822	6
4_6-dist	21	4	1	11	11	1886	7
4_6-dist	21	4	1	13	13	2041	8
4_6-dist	21	4	0	17	9	11908	9
4_6-dist	21	4	0	18	17	7382	10
4_6-dist	21	4	1	7	7	2634	11
4_6-dist	21	4	0	3	4	10213	12
4_6-dist	21	4	1	2	2	2225	13
4_6-dist	21	4	0	17	12	13232	14
4_6-dist	21	4	0	3	18	27594	15
4_6-dist	21	4	1	10	10	1699	16
4_6-dist	21	4	1	6	6	2066	17
4_6-dist	21	4	1	15	15	3220	18
4_6-dist	22	4	0	13	9	2187	1
4_6-dist	22	4	0	7	6	1509	2
4_6-dist	22	4	0	6	3	2132	3
4_6-dist	22	4	0	10	17	1447	4
4_6-dist	22	4	0	8	2	2309	5
4_6-dist	22	4	0	1	11	1602	6
4_6-dist	22	4	0	16	12	1345	7
4_6-dist	22	4	0	2	5	2929	8
4_6-dist	22	4	0	17	10	3431	9
4_6-dist	22	4	0	4	18	1920	10
4_6-dist	22	4	0	15	4	2707	11
4_6-dist	22	4	0	11	7	2064	12
4_6-dist	22	4	0	7	16	1723	13
4_6-dist	22	4	0	1	14	4611	14
4_6-dist	22	4	0	8	15	2167	15
4_6-dist	22	4	1	13	13	8239	16
4_6-dist	22	4	0	10	1	1601	17
4_6-dist	22	4	0	16	8	5928	18
4_6-dist	24	4	1	15	15	2645	1
4_6-dist	24	4	0	4	14	14468	2
4_6-dist	24	4	1	2	2	2019	3
4_6-dist	24	4	1	5	5	3563	4
4_6-dist	24	4	1	12	12	5205	5
4_6-dist	24	4	1	3	3	8060	6
4_6-dist	24	4	1	1	1	1686	7
4_6-dist	24	4	1	18	18	12331	8
4_6-dist	24	4	1	11	11	2703	9
4_6-dist	24	4	0	7	9	13389	10
4_6-dist	24	4	0	14	4	6445	11
4_6-dist	24	4	1	17	17	1565	12
4_6-dist	24	4	1	6	6	2878	13
4_6-dist	24	4	1	10	10	7045	14
4_6-dist	24	4	0	9	7	21954	15
4_6-dist	24	4	1	8	8	1205	16
4_6-dist	24	4	1	13	13	7324	17
4_6-dist	24	4	1	16	16	2792	18
4_6-dist	25	1	0	18	13	2957	1
4_6-dist	25	1	0	5	4	3520	2
4_6-dist	25	1	0	4	18	1903	3
4_6-dist	25	1	0	13	11	1851	4
4_6-dist	25	1	0	2	7	2108	5
4_6-dist	25	1	0	14	17	2105	6
4_6-dist	25	1	0	1	16	1741	7
4_6-dist	25	1	0	15	9	1711	8
4_6-dist	25	1	0	6	14	2828	9
4_6-dist	25	1	0	11	12	1274	10
4_6-dist	25	1	0	9	15	1998	11
4_6-dist	25	1	0	12	1	2052	12
4_6-dist	25	1	0	18	8	2035	13
4_6-dist	25	1	0	10	5	2911	14
4_6-dist	25	1	0	7	10	1641	15
4_6-dist	25	1	0	4	3	4966	16
4_6-dist	25	1	0	13	2	1743	17
4_6-dist	25	1	0	3	6	2522	18
4_6-dist	26	4	0	7	13	1741	1
4_6-dist	26	4	0	1	8	2094	2
4_6-dist	26	4	0	11	4	1711	3
4_6-dist	26	4	0	4	17	3150	4
4_6-dist	26	4	0	9	7	2915	5
4_6-dist	26	4	1	2	2	3113	6
4_6-dist	26	4	1	18	18	2352	7
4_6-dist	26	4	0	12	10	5865	8
4_6-dist	26	4	0	3	5	1493	9
4_6-dist	26	4	0	13	16	1715	10
4_6-dist	26	4	1	6	6	1121	11
4_6-dist	26	4	0	10	1	1457	12
4_6-dist	26	4	0	8	14	1148	13
4_6-dist	26	4	0	18	9	2085	14
4_6-dist	26	4	0	16	15	1230	15
4_6-dist	26	4	0	5	11	2907	16
4_6-dist	26	4	0	17	3	5122	17
4_6-dist	26	4	0	5	12	1696	18
4_6-dist	27	1	1	7	7	5674	1
4_6-dist	27	1	0	1	2	10706	2
4_6-dist	27	1	0	6	3	2709	3
4_6-dist	27	1	0	9	8	7474	4
4_6-dist	27	1	1	13	13	1696	5
4_6-dist	27	1	0	17	9	3586	6
4_6-dist	27	1	0	3	18	8131	7
4_6-dist	27	1	0	15	6	5920	8
4_6-dist	27	1	1	16	16	1889	9
4_6-dist	27	1	1	14	14	2048	10
4_6-dist	27	1	0	10	15	4405	11
4_6-dist	27	1	0	8	1	2903	12
4_6-dist	27	1	0	18	5	2881	13
4_6-dist	27	1	0	1	12	6934	14
4_6-dist	27	1	1	11	11	1325	15
4_6-dist	27	1	0	5	17	6086	16
4_6-dist	27	1	0	9	4	2605	17
4_6-dist	27	1	0	2	10	5666	18
4_6-dist	28	4	1	15	15	2054	1
4_6-dist	28	4	0	17	6	2194	2
4_6-dist	28	4	0	5	9	2784	3
4_6-dist	28	4	0	10	17	1986	4
4_6-dist	28	4	0	4	2	1519	5
4_6-dist	28	4	0	18	16	4005	6
4_6-dist	28	4	0	14	3	1363	7
4_6-dist	28	4	1	11	11	1998	8
4_6-dist	28	4	0	13	8	2012	9
4_6-dist	28	4	0	16	4	1559	10
4_6-dist	28	4	0	1	5	2777	11
4_6-dist	28	4	0	2	10	5463	12
4_6-dist	28	4	0	3	13	3578	13
4_6-dist	28	4	0	8	12	2046	14
4_6-dist	28	4	0	6	7	1550	15
4_6-dist	28	4	0	9	1	6939	16
4_6-dist	28	4	0	5	18	5766	17
4_6-dist	28	4	0	10	14	3790	18
4_6-dist	29	1	0	18	5	8201	1
4_6-dist	29	1	1	1	1	2344	2
4_6-dist	29	1	1	4	4	2520	3
4_6-dist	29	1	1	17	17	1872	4
4_6-dist	29	1	0	13	8	3024	5
4_6-dist	29	1	0	8	7	7672	6
4_6-dist	29	1	1	2	2	3358	7
4_6-dist	29	1	0	3	6	3430	8
4_6-dist	29	1	0	13	10	9967	9
4_6-dist	29	1	0	4	14	7209	10
4_6-dist	29	1	1	9	9	2578	11
4_6-dist	29	1	1	15	15	1552	12
4_6-dist	29	1	0	8	3	14021	13
4_6-dist	29	1	1	13	13	2453	14
4_6-dist	29	1	1	18	18	3939	15
4_6-dist	29	1	0	7	16	7237	16
4_6-dist	29	1	0	10	12	5872	17
4_6-dist	29	1	0	6	11	5887	18
4_6-dist	30	1	0	6	8	4219	1
4_6-dist	30	1	1	12	12	1738	2
4_6-dist	30	1	0	6	2	1938	3
4_6-dist	30	1	0	8	18	1868	4
4_6-dist	30	1	0	2	15	2315	5
4_6-dist	30	1	0	15	11	2732	6
4_6-dist	30	1	0	12	14	4153	7
4_6-dist	30	1	0	2	1	3157	8
4_6-dist	30	1	0	17	4	2796	9
4_6-dist	30	1	0	8	10	2178	10
4_6-dist	30	1	0	16	13	2649	11
4_6-dist	30	1	0	9	6	1816	12
4_6-dist	30	1	0	4	3	2210	13
4_6-dist	30	1	0	12	5	2180	14
4_6-dist	30	1	0	12	9	1852	15
4_6-dist	30	1	0	18	17	1626	16
4_6-dist	30	1	0	10	7	2241	17
4_6-dist	30	1	0	5	16	2675	18
4_6-dist	31	1	0	13	17	7465	1
4_6-dist	31	1	0	17	6	3164	2
4_6-dist	31	1	0	10	16	5343	3
4_6-dist	31	1	0	13	11	3694	4
4_6-dist	31	1	1	18	18	2791	5
4_6-dist	31	1	0	7	14	9233	6
4_6-dist	31	1	0	6	13	5302	7
4_6-dist	31	1	1	3	3	5959	8
4_6-dist	31	1	0	12	4	3348	9
4_6-dist	31	1	1	2	2	2435	10
4_6-dist	31	1	0	4	15	4453	11
4_6-dist	31	1	1	9	9	2788	12
4_6-dist	31	1	1	1	1	1823	13
4_6-dist	31	1	1	8	8	10022	14
4_6-dist	31	1	0	11	7	5547	15
4_6-dist	31	1	0	12	5	7821	16
4_6-dist	31	1	0	8	10	5587	17
4_6-dist	31	1	0	10	12	4166	18
