ExperimentName	Subject	Session	Correct	CorrectAns	Response	TestSlide.RT	SessionTime
1_	2	1	1	1	1	4195	15:12:32
1_	2	1	0	2	6	3303	15:12:32
1_	2	1	0	3	1	5900	15:12:32
1_	2	1	0	4	16	5267	15:12:32
1_	2	1	0	5	1	7635	15:12:32
1_	2	1	0	6	11	4302	15:12:32
1_	2	1	0	7	12	2454	15:12:32
1_	2	1	0	8	18	4414	15:12:32
1_	2	1	0	9	8	1623	15:12:32
1_	2	1	0	10	17	3350	15:12:32
1_	2	1	0	11	13	1732	15:12:32
1_	2	1	0	12	5	1915	15:12:32
1_	2	1	0	13	3	3753	15:12:32
1_	2	1	1	14	14	5784	15:12:32
1_	2	1	1	15	15	1976	15:12:32
1_	2	1	0	16	9	2352	15:12:32
1_	2	1	1	17	17	3021	15:12:32
1_	2	1	0	18	8	2740	15:12:32
1_	20	2	0	1	11	1872	13:54:08
1_	20	2	0	2	7	1424	13:54:08
1_	20	2	0	3	12	1782	13:54:08
1_	20	2	0	4	2	1523	13:54:08
1_	20	2	0	5	9	755	13:54:08
1_	20	2	0	6	17	601	13:54:08
1_	20	2	0	7	4	933	13:54:08
1_	20	2	0	8	13	964	13:54:08
1_	20	2	0	9	10	1247	13:54:08
1_	20	2	0	10	9	1153	13:54:08
1_	20	2	0	11	6	1749	13:54:08
1_	20	2	0	12	8	1226	13:54:08
1_	20	2	0	13	3	1571	13:54:08
1_	20	2	0	14	5	1099	13:54:08
1_	20	2	0	15	1	1797	13:54:08
1_	20	2	0	16	17	1627	13:54:08
1_	20	2	0	17	6	1048	13:54:08
1_	20	2	0	18	14	2816	13:54:08
1_	24	2	0	1	5	5585	14:28:06
1_	24	2	0	2	10	4422	14:28:06
1_	24	2	0	3	1	3049	14:28:06
1_	24	2	0	4	6	2404	14:28:06
1_	24	2	0	5	4	5522	14:28:06
1_	24	2	0	6	10	3847	14:28:06
1_	24	2	0	7	12	2327	14:28:06
1_	24	2	1	8	8	1933	14:28:06
1_	24	2	1	9	9	5076	14:28:06
1_	24	2	0	10	6	7345	14:28:06
1_	24	2	1	11	11	1299	14:28:06
1_	24	2	0	12	7	2810	14:28:06
1_	24	2	1	13	13	7188	14:28:06
1_	24	2	0	14	18	1415	14:28:06
1_	24	2	1	15	15	2904	14:28:06
1_	24	2	1	16	16	3101	14:28:06
1_	24	2	1	17	17	1081	14:28:06
1_	24	2	0	18	14	5767	14:28:06
1_	28	1	0	1	2	7646	14:44:39
1_	28	1	0	2	4	2983	14:44:39
1_	28	1	1	3	3	5608	14:44:39
1_	28	1	0	4	6	5729	14:44:39
1_	28	1	1	5	5	4917	14:44:39
1_	28	1	0	6	1	6872	14:44:39
1_	28	1	0	7	12	2108	14:44:39
1_	28	1	0	8	10	3033	14:44:39
1_	28	1	0	9	7	5860	14:44:39
1_	28	1	0	10	8	5984	14:44:39
1_	28	1	1	11	11	2905	14:44:39
1_	28	1	0	12	7	2934	14:44:39
1_	28	1	1	13	13	1575	14:44:39
1_	28	1	1	14	14	2194	14:44:39
1_	28	1	1	15	15	3776	14:44:39
1_	28	1	0	16	18	1687	14:44:39
1_	28	1	0	17	7	6475	14:44:39
1_	28	1	0	18	9	6369	14:44:39
1_	34	2	1	1	1	5193	15:40:18
1_	34	2	1	2	2	3706	15:40:18
1_	34	2	0	3	11	4039	15:40:18
1_	34	2	0	4	3	3841	15:40:18
1_	34	2	0	5	6	11683	15:40:18
1_	34	2	0	6	5	7954	15:40:18
1_	34	2	0	7	12	2021	15:40:18
1_	34	2	1	8	8	8635	15:40:18
1_	34	2	0	9	10	4590	15:40:18
1_	34	2	0	10	9	6281	15:40:18
1_	34	2	1	11	11	11324	15:40:18
1_	34	2	0	12	7	1500	15:40:18
1_	34	2	1	13	13	1942	15:40:18
1_	34	2	1	14	14	8567	15:40:18
1_	34	2	1	15	15	4128	15:40:18
1_	34	2	1	16	16	1524	15:40:18
1_	34	2	1	17	17	1417	15:40:18
1_	34	2	0	18	9	25867	15:40:18
1_	35	2	0	1	4	6559	17:06:07
1_	35	2	0	2	10	5275	17:06:07
1_	35	2	0	3	1	3091	17:06:07
1_	35	2	0	4	8	3011	17:06:07
1_	35	2	1	5	5	2573	17:06:07
1_	35	2	0	6	2	4099	17:06:07
1_	35	2	0	7	12	4980	17:06:07
1_	35	2	0	8	18	4657	17:06:07
1_	35	2	0	9	10	5461	17:06:07
