18	16	9	2	16
10	6	3	4	10
1	15	13	7	13
5	17	12	14	12
7	8	10	9	9
11	14	3	18	14
17	16	12	15	12
13	2	6	10	13
7	5	8	4	7
9	2	1	13	9
18	11	14	16	18
3	5	17	10	5
11	8	12	13	12
6	14	16	15	16
3	12	7	1	1
11	2	9	17	9
18	5	16	4	5
12	3	14	1	3
7	6	15	18	7
11	16	13	2	16
4	15	5	8	15
10	9	1	17	1
3	12	6	18	3
13	4	2	8	4
5	9	1	14	1
8	7	10	17	17
6	4	15	11	4
18	16	9	2	18
10	6	3	4	3
1	15	13	7	15
5	17	12	14	17
7	8	10	9	10
11	14	3	18	11
17	16	12	15	17
13	2	6	10	6
7	5	8	4	5
9	2	1	13	13
18	11	14	16	11
3	5	17	10	17
11	8	12	13	13
6	14	16	15	14
3	12	7	1	3
11	2	9	17	17
18	5	16	4	18
12	3	14	1	12
7	6	15	18	6
11	16	13	2	2
4	15	5	8	4
10	9	1	17	17
3	12	6	18	12
13	4	2	8	2
5	9	1	14	9
8	7	10	17	10
6	4	15	11	6
18	16	9	2	2
10	6	3	4	4
1	15	13	7	1
5	17	12	14	14
7	8	10	9	7
11	14	3	18	3
17	16	12	15	15
13	2	6	10	2
7	5	8	4	4
9	2	1	13	2
18	11	14	16	14
3	5	17	10	3
11	8	12	13	11
6	14	16	15	15
3	12	7	1	12
11	2	9	17	11
18	5	16	4	4
12	3	14	1	14
7	6	15	18	18
11	16	13	2	13
4	15	5	8	5
10	9	1	17	10
3	12	6	18	18
13	4	2	8	13
5	9	1	14	14
8	7	10	17	7
6	4	15	11	11
18	16	9	2	9
10	6	3	4	6
1	15	13	7	7
5	17	12	14	5
7	8	10	9	8
11	14	3	18	18
17	16	12	15	16
13	2	6	10	10
7	5	8	4	8
9	2	1	13	1
18	11	14	16	16
3	5	17	10	10
11	8	12	13	8
6	14	16	15	6
3	12	7	1	7
11	2	9	17	2
18	5	16	4	16
12	3	14	1	1
7	6	15	18	15
11	16	13	2	11
4	15	5	8	8
10	9	1	17	9
3	12	6	18	6
13	4	2	8	8
5	9	1	14	5
8	7	10	17	8
6	4	15	11	15
